[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ route_check ] --START--
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.001147s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001280s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000953s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001046s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.002749s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_goods` LIMIT 1   [ RunTime:0.000395s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT `id` FROM `hd_goods` LIMIT 0,10   [ RunTime:0.000284s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.002602s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.002628s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.002761s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.002626s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.002394s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '10' )  [ RunTime:0.003219s ]
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 109 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 108 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 107 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 106 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 105 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 104 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 103 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 102 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 101 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 100 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 99 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 98 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 97 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 96 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 95 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 94 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 93 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 92 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 91 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 90 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 89 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 110 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 111 common.php 第 272 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 112 common.php 第 281 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 113 common.php 第 281 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 114 common.php 第 281 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 115 common.php 第 281 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 116 common.php 第 281 行.
[ 2013-02-26T10:49:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 117 common.php 第 281 行.
