[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 142 common.php 第 224 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 143 common.php 第 224 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 144 common.php 第 233 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 145 common.php 第 233 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 146 common.php 第 233 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 147 common.php 第 233 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 144 common.php 第 308 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 145 common.php 第 308 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 146 common.php 第 308 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined offset: 147 common.php 第 308 行.
